YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1950,-2.96,5.43,6.57,8.95,11.89,16.62,18.57,18.63,15.32,10.53,7.42,8.05,1.09,9.14,17.94,11.09,9.81
1951,3.69,5.74,5.04,10.70,13.28,17.12,18.93,17.41,15.98,11.40,7.93,3.38,5.83,9.67,17.82,11.77,11.27
1952,3.37,5.72,6.64,10.06,13.14,14.52,18.37,18.14,16.02,13.28,5.94,6.23,4.16,9.95,17.01,11.75,10.71
1953,7.72,5.42,6.96,9.10,12.32,13.92,17.47,17.96,16.24,12.64,9.03,6.55,6.46,9.46,16.45,12.64,11.25
1954,3.10,6.51,5.67,8.03,12.66,14.00,16.11,16.39,15.33,10.82,9.92,5.32,5.39,8.79,15.50,12.02,10.42
1955,4.44,3.92,4.43,7.45,10.84,14.89,16.06,16.55,14.36,10.68,4.29,3.97,4.56,7.57,15.83,9.78,9.44
1956,4.31,2.46,5.33,10.21,14.21,14.26,18.55,17.62,14.82,10.13,6.34,4.97,3.58,9.92,16.81,10.43,10.18
1957,0.73,4.57,7.29,10.47,14.81,16.15,16.96,16.86,17.46,10.79,6.78,6.83,3.42,10.86,16.66,11.68,10.65
1958,6.81,8.98,7.04,9.92,16.15,18.10,20.80,19.55,15.80,12.51,6.73,7.48,7.54,11.04,19.48,11.68,12.44
1959,5.21,5.32,7.09,10.10,12.25,15.64,19.25,17.16,14.46,11.44,6.95,4.88,6.00,9.81,17.35,10.95,11.03
1960,4.11,5.39,6.68,9.87,11.79,15.59,19.59,17.06,14.74,11.77,7.25,4.41,4.79,9.45,17.41,11.25,10.73
1961,6.72,7.16,7.61,8.62,12.37,17.73,19.73,20.46,15.11,10.74,5.75,4.30,6.10,9.53,19.31,10.53,11.37
1962,3.76,6.36,6.50,10.19,10.57,15.70,17.74,16.91,15.55,11.64,8.25,5.88,4.81,9.09,16.78,11.81,10.62
1963,1.26,9.18,6.73,9.24,14.47,15.66,17.06,18.28,17.71,12.67,7.10,5.02,5.44,10.15,17.00,12.49,11.27
1964,4.56,5.33,6.88,8.39,11.93,14.55,17.66,17.14,14.88,12.09,5.74,2.56,4.97,9.07,16.45,10.90,10.35
1965,4.68,6.20,8.44,9.81,11.15,16.11,19.98,18.86,14.75,13.67,9.80,4.81,4.48,9.80,18.32,12.74,11.33
1966,5.17,6.74,7.41,10.10,12.61,14.95,16.86,18.16,16.49,10.91,7.54,6.53,5.57,10.04,16.66,11.65,10.98
1967,5.89,6.14,5.76,8.20,13.14,17.19,18.89,21.47,18.46,12.40,8.25,5.07,6.19,9.03,19.18,13.04,11.86
